order_id,order_date,customer_id,gender,age,city,product_category,price,quantity,payment_mode,rating,revenue
1,1/1/2022 0:00,3732,Male,32,Chennai,Grocery,1842,5,UPI,4.2,9210
2,1/1/2022 1:00,3607,Female,58,Bangalore,Sports,2286,2,Credit Card,1.4,4572
3,1/1/2022 2:00,2653,Male,46,Bangalore,Fashion,1462,2,COD,1.5,2924
4,1/1/2022 3:00,4264,Female,22,Mumbai,Home,1050,4,UPI,1.3,4200
5,1/1/2022 4:00,5931,Female,63,Kolkata,Home,4063,1,Debit Card,2.8,4063
6,1/1/2022 5:00,5859,Male,63,Delhi,Beauty,4796,1,Credit Card,4.7,4796
7,1/1/2022 6:00,6827,Female,18,Delhi,Beauty,4973,2,COD,3.6,9946
8,1/1/2022 7:00,2033,Female,36,Mumbai,Electronics,1438,3,Credit Card,4.2,4314
9,1/1/2022 8:00,5373,Male,40,Chennai,Electronics,3611,4,Debit Card,1.6,14444
10,1/1/2022 9:00,6874,Male,40,Mumbai,Electronics,908,2,UPI,2.9,1816
11,1/1/2022 10:00,6924,Male,40,Kolkata,Beauty,2824,5,Debit Card,4.8,14120
12,1/1/2022 11:00,7743,Male,18,Delhi,Home,3804,5,UPI,4.6,19020
13,1/1/2022 12:00,7744,Female,20,Mumbai,Grocery,1182,1,Credit Card,2.4,1182
14,1/1/2022 13:00,4468,Male,36,Bangalore,Sports,222,5,Credit Card,2.7,1110
15,1/1/2022 14:00,7458,Male,50,Mumbai,Grocery,2082,2,Credit Card,4.7,4164
16,1/1/2022 15:00,1705,Male,48,Hyderabad,Beauty,398,5,COD,4,1990
17,1/1/2022 16:00,3599,Male,39,Mumbai,Electronics,4879,5,Debit Card,3.7,24395
18,1/1/2022 17:00,3135,Male,43,Chennai,Sports,1230,4,UPI,1.6,4920
19,1/1/2022 18:00,3222,Male,27,Kolkata,Sports,3014,5,UPI,1.9,15070
20,1/1/2022 19:00,3897,Female,23,Bangalore,Home,2276,1,COD,4.2,2276
21,1/1/2022 20:00,2701,Male,52,Delhi,Sports,4377,4,Debit Card,3.7,17508
22,1/1/2022 21:00,1537,Male,18,Pune,Fashion,472,3,Credit Card,4.7,1416
23,1/1/2022 22:00,3893,Female,54,Delhi,Grocery,3511,2,UPI,3.9,7022
24,1/1/2022 23:00,7216,Female,36,Mumbai,Fashion,2979,2,Credit Card,2.3,5958
25,1/2/2022 0:00,7921,Male,30,Delhi,Fashion,652,3,UPI,3.3,1956
26,1/2/2022 1:00,7036,Female,63,Mumbai,Sports,4164,5,Credit Card,4.7,20820
27,1/2/2022 2:00,3163,Female,59,Pune,Home,1927,4,COD,4.8,7708
28,1/2/2022 3:00,6072,Female,34,Kolkata,Grocery,4350,3,Credit Card,2.1,13050
29,1/2/2022 4:00,5851,Male,28,Hyderabad,Fashion,2647,5,COD,4.6,13235
30,1/2/2022 5:00,3046,Male,47,Mumbai,Grocery,4448,4,UPI,4.7,17792
31,1/2/2022 6:00,2871,Male,49,Bangalore,Beauty,1934,2,UPI,2.4,3868
32,1/2/2022 7:00,3496,Male,40,Delhi,Home,919,1,Credit Card,4.4,919
33,1/2/2022 8:00,7994,Female,28,Pune,Sports,2102,3,Credit Card,3.4,6306
34,1/2/2022 9:00,1099,Male,40,Mumbai,Home,3646,3,UPI,3.8,10938
35,1/2/2022 10:00,3008,Male,37,Kolkata,Beauty,3123,5,COD,3.2,15615
36,1/2/2022 11:00,1755,Female,37,Hyderabad,Electronics,966,5,UPI,3.1,4830
37,1/2/2022 12:00,1797,Male,51,Pune,Fashion,4478,1,COD,3,4478
38,1/2/2022 13:00,1659,Male,18,Chennai,Grocery,3064,5,UPI,3.7,15320
39,1/2/2022 14:00,4219,Male,54,Chennai,Beauty,2804,3,Credit Card,4.5,8412
40,1/2/2022 15:00,1423,Male,57,Mumbai,Home,3583,3,COD,4.1,10749
41,1/2/2022 16:00,4337,Male,49,Bangalore,Home,3298,5,Credit Card,1.7,16490
42,1/2/2022 17:00,3745,Female,18,Bangalore,Sports,1058,4,UPI,2.8,4232
43,1/2/2022 18:00,5735,Male,33,Delhi,Sports,3403,3,Debit Card,2.4,10209
44,1/2/2022 19:00,1544,Female,20,Mumbai,Fashion,4798,4,UPI,2.4,19192
45,1/2/2022 20:00,7687,Female,58,Chennai,Sports,4265,2,Credit Card,3.2,8530
46,1/2/2022 21:00,1714,Male,61,Delhi,Electronics,1289,2,Debit Card,1.9,2578
47,1/2/2022 22:00,3292,Female,36,Bangalore,Beauty,261,5,Credit Card,3.4,1305
48,1/2/2022 23:00,1151,Female,25,Chennai,Fashion,3830,3,Debit Card,4.3,11490
49,1/3/2022 0:00,3723,Female,37,Bangalore,Electronics,819,3,UPI,3.5,2457
50,1/3/2022 1:00,7654,Male,61,Delhi,Home,555,4,Debit Card,2.5,2220
51,1/3/2022 2:00,4531,Female,48,Bangalore,Electronics,639,1,UPI,1.6,639
52,1/3/2022 3:00,3930,Male,32,Chennai,Sports,1594,5,UPI,2,7970
53,1/3/2022 4:00,2207,Male,42,Pune,Beauty,199,2,Debit Card,1.2,398
54,1/3/2022 5:00,7172,Female,49,Bangalore,Fashion,592,1,Debit Card,2.3,592
55,1/3/2022 6:00,1802,Female,51,Mumbai,Electronics,531,1,UPI,3.9,531
56,1/3/2022 7:00,3176,Female,38,Chennai,Sports,823,2,UPI,2.8,1646
57,1/3/2022 8:00,3176,Male,38,Pune,Sports,3026,5,COD,1.6,15130
58,1/3/2022 9:00,2956,Male,22,Kolkata,Electronics,1709,5,Debit Card,2.5,8545
59,1/3/2022 10:00,7021,Male,34,Pune,Grocery,4100,4,Credit Card,4.9,16400
60,1/3/2022 11:00,4622,Male,44,Delhi,Electronics,988,3,UPI,3.5,2964
61,1/3/2022 12:00,4560,Female,54,Mumbai,Fashion,4554,4,Credit Card,2,18216
62,1/3/2022 13:00,1756,Female,59,Bangalore,Beauty,3358,5,Credit Card,4.1,16790
63,1/3/2022 14:00,5369,Female,44,Bangalore,Grocery,3567,5,Credit Card,4.7,17835
64,1/3/2022 15:00,7479,Male,45,Kolkata,Home,3425,2,COD,1.5,6850
65,1/3/2022 16:00,5484,Male,43,Pune,Grocery,1941,5,Credit Card,3.2,9705
66,1/3/2022 17:00,2641,Female,24,Bangalore,Electronics,2583,1,UPI,1.7,2583
67,1/3/2022 18:00,4114,Female,47,Pune,Electronics,2451,1,COD,3,2451
